time,unemployment_rate,unemployment_rate_seas,subemployment_rate
2013-04-01,0.05016600177284,0.0496199892,0.04755576612602
2013-03-01,0.04978234109142,0.0447565818,0.04596818016548
2013-02-01,0.048125461530590004,0.0475052305,0.04914273899587
2013-01-01,0.05163826618056001,0.0540787857,0.051393122886249996
2012-12-01,0.04891414040914,0.0439544582,0.04201093709067
2012-11-01,0.05155915221517,0.050476489799999996,0.05159309138256
2012-10-01,0.049099708481900005,0.0503047598,0.05096735670032
2012-09-01,0.045882498721060004,0.0490520453,0.052084008125999996
2012-08-01,0.04939894904843,0.0532777829,0.0546087902061
2012-07-01,0.047527173428719996,0.049920287300000005,0.05186864090545
2012-06-01,0.04817360440707,0.047513260099999996,0.04783393234925
2012-05-01,0.047760659982969994,0.046736979,0.04785262700034
2012-04-01,0.04908626449395,0.04857985099999999,0.04851548788134
2012-03-01,0.05021034726682,0.0451848892,0.0427786258389
2012-02-01,0.05292558033664,0.052801078099999996,0.04794795785283
2012-01-01,0.04629167192025,0.0487974373,0.04812269232375
2011-12-01,0.05019237288501,0.045068053299999994,0.04183396613306
2011-11-01,0.05065584177705,0.0496127892,0.05024254346315
2011-10-01,0.04873651922651,0.049933989399999996,0.04770684756414
2011-09-01,0.05069659783217,0.0543238833,0.05819034273987
2011-08-01,0.05288946387348,0.0570524018,0.061246333205910004
2011-07-01,0.05209582926379,0.0547711851,0.05638584050108
2011-06-01,0.05554380687899,0.0540078705,0.05549661968215
2011-05-01,0.053674637012820006,0.051807634,0.05026978705594
2011-04-01,0.05199813853048,0.0513063631,0.05132354017026999
2011-03-01,0.05111772028703,0.046417399,0.04396490437376
2011-02-01,0.052661683558160005,0.0533848434,0.05070108275778
2011-01-01,0.05029109157283,0.053370107400000005,0.0505867424612
2010-12-01,0.05509123803099,0.049369689599999995,0.04393129356672001
2010-11-01,0.05313649568283,0.051723595600000005,0.04742449706639
2010-10-01,0.053321421910540005,0.05481306080000001,0.0490916348352
2010-09-01,0.05278765994854,0.0565759828,0.05591672338514
2010-08-01,0.05016108144905,0.0541578641,0.05849682756509
2010-07-01,0.05294973048281,0.0558516833,0.0567466680536
2010-06-01,0.05136437206497,0.0492164306,0.0466739095253
2010-05-01,0.05253400192136,0.049954717600000004,0.05170368798021
2010-04-01,0.0545850840813,0.0534734688,0.05297371627215
2010-03-01,0.05149574132413,0.0474399195,0.048592233831960006
2010-02-01,0.05115075073811,0.052808939099999994,0.05125119845847
2010-01-01,0.054107677119669996,0.0576104202,0.05484132972454
2009-12-01,0.0529043734878,0.047291985800000005,0.0446049697194
2009-11-01,0.05288884303112,0.051090116500000005,0.04914535344623
2009-10-01,0.054930156792769996,0.0567001668,0.05504010989357
2009-09-01,0.05984542935184,0.0641981154,0.07032744912941
2009-08-01,0.05709239584998001,0.061457045499999995,0.07041393650429
2009-07-01,0.05462238754709001,0.0582153796,0.06068787485502
2009-06-01,0.05285982943791,0.049756365100000005,0.04593179426241
2009-05-01,0.05598596452245,0.0523171387,0.048461955595950006
2009-04-01,0.051981392468319995,0.0505535586,0.046512213009099995
2009-03-01,0.04956666547836,0.0466487867,0.04495611571133
2009-02-01,0.050026395564020006,0.052381731599999995,0.04964648563859
2009-01-01,0.04671821727299,0.0500904125,0.053247653295459996
2008-12-01,0.04534786626241,0.0402480419,0.04182367267936
2008-11-01,0.045369287957179996,0.0432293494,0.04022773342106
2008-10-01,0.04023121938693,0.0417178615,0.0380057309197
2008-09-01,0.03855521031261,0.041408972100000004,0.04482616009389
2008-08-01,0.03776158417032,0.0405671164,0.04082763820787
2008-07-01,0.03843592902971,0.0413338526,0.04474075567912
2008-06-01,0.03611796963109,0.0336795461,0.036971581616079996
2008-05-01,0.03576602480616,0.0329491468,0.03540730963208
2008-04-01,0.036176289872699996,0.0347955511,0.038836519092359995
2008-03-01,0.03760210908338,0.0361456657,0.03951531786117
2008-02-01,0.03680228085979,0.038885932799999995,0.041410171949099996
2008-01-01,0.03817005898583,0.0411706185,0.04161189853478
2007-12-01,0.035241959436919996,0.031061368699999998,0.030979178966699997
2007-11-01,0.03553355844815,0.033540253299999996,0.0384008046466
2007-10-01,0.03631090526055,0.0377112469,0.03974346882217
2007-09-01,0.03503369795951,0.037616954699999997,0.043274144038
2007-08-01,0.0357633395812,0.038310352,0.04489369710197
2007-07-01,0.034870355133330005,0.0379006856,0.04157687022822001
2007-06-01,0.03538503842967,0.0328199333,0.03562792197324
2007-05-01,0.034657924211,0.0315085674,0.03403840018375
2007-04-01,0.03688191288897,0.0351300819,0.03856211892417
2007-03-01,0.03800521825169,0.0372676021,0.04156469016375
2007-02-01,0.03816706408341,0.04051670760000001,0.044765419027039996
2007-01-01,0.03730096605897,0.0404674987,0.043781176422380004
2006-12-01,0.037901485768269995,0.0331665699,0.03303058434204
2006-11-01,0.037394233002320004,0.0350289521,0.03777459124293
2006-10-01,0.03677381783691,0.0381798355,0.04321256902533
2006-09-01,0.03727610050603,0.0399579567,0.0424800320638
2006-08-01,0.0361674438571,0.038720604299999996,0.04373882560949
2006-07-01,0.0366525975607,0.040074184500000005,0.04927083501906
2006-06-01,0.035062955633759996,0.0325883338,0.03481043630181
2006-05-01,0.03146377467087,0.028392612100000002,0.031479754419499996
2006-04-01,0.033822861675919996,0.0319501793,0.03672152844919
2006-03-01,0.033359611251580004,0.0331182028,0.03524521878499
2006-02-01,0.03521792664376,0.0374522836,0.038412694538259996
2006-01-01,0.032023424251880005,0.034778687499999995,0.03562720034983
2005-12-01,0.031733069435669996,0.0277001059,0.02835591439651
2005-11-01,0.03147365597731,0.0293981529,0.03168252076922
2005-10-01,0.0326071832985,0.0338599539,0.03855690500243
2005-09-01,0.033403430038409995,0.03578426,0.03790251151994
2005-08-01,0.03434777353049,0.0367007975,0.04292297786904
2005-07-01,0.03575226325903,0.039233627,0.04703810905511
2005-06-01,0.03743510892159,0.034821565,0.034581010181199995
2005-05-01,0.03677918441942,0.0330369265,0.03342075306676
2005-04-01,0.035665201998849996,0.0336341228,0.038299712320740004
2005-03-01,0.03632562506694,0.0362707537,0.04169720032152
2005-02-01,0.03551402855439,0.0377330244,0.043400434750589995
2005-01-01,0.03636772573872,0.0395199787,0.04342337565598
